"Name","OldPath"
"CERT.SOST.DIPLOMA VITELLA MICHELE.pdf","C:\Utenti\mikyv\OneDrive\Desktop\COSE\DOCUMENTI\OneDrive\Documenti\CERT.SOST.DIPLOMA VITELLA MICHELE.pdf"
"Curriculum Michele Vitella ENG.pdf","C:\Utenti\mikyv\OneDrive\Desktop\COSE\DOCUMENTI\OneDrive\Documenti\Curriculum Michele Vitella ENG.pdf"
"Curriculum Michele Vitella ITA.pdf","C:\Utenti\mikyv\OneDrive\Desktop\COSE\DOCUMENTI\OneDrive\Documenti\Curriculum Michele Vitella ITA.pdf"
"Curriculum Michele Vitella.pdf","C:\Utenti\mikyv\OneDrive\Desktop\COSE\DOCUMENTI\OneDrive\Documenti\Curriculum Michele Vitella.pdf"
"Autobiografia Linguistica Vitella Michele.pdf","C:\Utenti\mikyv\OneDrive\Desktop\COSE\DOCUMENTI\OneDrive\Desktop\COSE\UNIVERSIT?\PRIMO ANNO\Tecniche di comunicazione\Autobiografia Linguistica Vitella Michele.pdf"
"Mail Vitella Michele.pdf","C:\Utenti\mikyv\OneDrive\Desktop\COSE\DOCUMENTI\OneDrive\Desktop\COSE\UNIVERSIT?\PRIMO ANNO\Tecniche di comunicazione\Mail Vitella Michele.pdf"
"3-Puntatori-a-Funzioni-e-Callback.pdf","C:\Utenti\mikyv\OneDrive\Desktop\COSE\DOCUMENTI\OneDrive\Desktop\COSE\UNIVERSIT?\PRIMO ANNO\PROGRAMMAZIONE 2\3-Puntatori-a-Funzioni-e-Callback.pdf"
"5 - Introduzione alle Liste concatenate.pdf","C:\Utenti\mikyv\OneDrive\Desktop\COSE\DOCUMENTI\OneDrive\Desktop\COSE\UNIVERSIT?\PRIMO ANNO\PROGRAMMAZIONE 2\5 - Introduzione alle Liste concatenate.pdf"
"6 - Visita di una lista.pdf","C:\Utenti\mikyv\OneDrive\Desktop\COSE\DOCUMENTI\OneDrive\Desktop\COSE\UNIVERSIT?\PRIMO ANNO\PROGRAMMAZIONE 2\6 - Visita di una lista.pdf"
"Record di Attivazione.pdf","C:\Utenti\mikyv\OneDrive\Desktop\COSE\DOCUMENTI\OneDrive\Desktop\COSE\UNIVERSIT?\PRIMO ANNO\PROGRAMMAZIONE 2\Record di Attivazione.pdf"
"esame1.pdf","C:\Utenti\mikyv\OneDrive\Desktop\COSE\DOCUMENTI\OneDrive\Desktop\COSE\UNIVERSIT?\PRIMO ANNO\PROGRAMMAZIONE 2\ESAMI\esame1.pdf"
"esame2.pdf","C:\Utenti\mikyv\OneDrive\Desktop\COSE\DOCUMENTI\OneDrive\Desktop\COSE\UNIVERSIT?\PRIMO ANNO\PROGRAMMAZIONE 2\ESAMI\esame2.pdf"
"esame3.pdf","C:\Utenti\mikyv\OneDrive\Desktop\COSE\DOCUMENTI\OneDrive\Desktop\COSE\UNIVERSIT?\PRIMO ANNO\PROGRAMMAZIONE 2\ESAMI\esame3.pdf"
"esame4.pdf","C:\Utenti\mikyv\OneDrive\Desktop\COSE\DOCUMENTI\OneDrive\Desktop\COSE\UNIVERSIT?\PRIMO ANNO\PROGRAMMAZIONE 2\ESAMI\esame4.pdf"
"esame5.pdf","C:\Utenti\mikyv\OneDrive\Desktop\COSE\DOCUMENTI\OneDrive\Desktop\COSE\UNIVERSIT?\PRIMO ANNO\PROGRAMMAZIONE 2\ESAMI\esame5.pdf"
